objectid,name,nom,abbreviation,shape_area,shape_length,globalid,ecyptapop,ecypta_0_4,ecypta_5_9,ecypta1014,ecypta1519,ecypta2024,ecypta2529,ecypta3034,ecypta3539,ecypta4044,ecypta4549,ecypta5054,ecypta5559,ecypta6064,ecypta6569,ecypta7074,ecypta7579,ecypta8084,ecypta85p,ecyptaavg,ecyptamed,ecyptaagg,recovered,tests,last_updated,sourceurl,activecases,hospitalized,icu,icuvent,deaths,case_total,retrieved_at
4,Newfoundland and Labrador,Terre-Neuve,NL,1086581082316.36,37794434.2008472,87d515b0-e6d7-4f85-9e3e-341a422077b3,523241,21854,24726,26686,26568,27863,30913,31007,32196,32048,36036,40689,41752,40628,37900,30791,19393,12232,9959,44.1,46.1,23065436.3,225,8220,1588179600000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,30,4,2,,3,258,2020-04-30 07:16:02
5,New Brunswick,Nouveau-Brunswick,NB,154155977969.953,3413186.07764555,32d3149d-34e6-4fce-b464-36c350e00f58,756060,33897,37318,38726,39828,42149,44267,41936,45040,46815,50415,54352,61496,58605,51204,43432,28743,18645,19192,44,45.8,33284564.2,114,13699,1588182300000,https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/maps_graphs.html,4,1,0,,0,118,2020-04-30 07:16:02
6,British Columbia,Colombie-Britannique,BC,2862273736196.98,31406752.9411131,735b589b-2768-4765-a176-3857e0ca6e83,4895154,227890,235572,240006,254983,323378,338603,342000,340131,313387,321154,328861,357360,335841,291567,242964,167928,113708,119821,42.5,42.3,208070312.1,1305,83425,1588203900000,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/case-counts-press-statements,673,89,35,,109,2087,2020-04-30 07:16:02
7,Nova Scotia,Nouvelle-Écosse,NS,111077322204.383,6373052.4540427,d2c3a3a8-c82f-4dcb-8cb7-6b0e81ad810d,958712,42803,45243,45823,48835,58642,63416,60786,58671,57698,61403,66079,77221,73300,63324,54257,35913,22692,22606,43.6,44.8,41844732.7,529,28421,1588176900000,https://novascotia.ca/coronavirus/data/,379,11,3,,28,935,2020-04-30 07:16:02
8,Saskatchewan,Saskatchewan,SK,1899735100561.55,9302184.44773394,55f5faf0-a76f-4fe1-a1f1-77415a1c546a,1203446,79758,78644,75621,72680,77374,88477,92733,86305,75488,68981,68681,79358,74253,59629,44551,30978,23272,26663,38.8,37.1,46681461.3,291,29106,1588190400000,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan,86,10,3,,6,383,2020-04-30 07:16:02
9,Alberta,Alberta,AB,2036440617829.41,7161507.76723443,370a849a-e5ae-443f-933a-7bad610953b6,4435639,283460,275062,263508,244291,274870,335040,372040,371608,321058,288398,272779,291515,262841,200075,148958,96811,65169,68156,38.3,37.3,169893805,1953,143886,1588197600000,https://www.alberta.ca/covid-19-alberta-data.aspx,3125,86,22,,87,5165,2020-04-30 07:16:02
10,Manitoba,Manitoba,MB,1876284624051.16,14868415.7710928,f1526b98-269a-49e9-9c68-9a2eee7d1687,1367811,87963,85902,83607,85122,95712,99468,98689,92593,85601,82379,82551,91093,81381,68626,55244,37256,25796,28828,39,37.6,53412420.3,213,24389,1588187700000,https://www.gov.mb.ca/covid19/index.html,54,5,0,,6,273,2020-04-30 07:16:02
11,Quebec,Québec,QC,4318862847408.47,30353674.6912596,4eefb95c-5a26-4caf-9e7e-d6a7213b2703,8458050,427294,459270,437395,407413,483987,573828,548439,589315,572674,521774,558829,630832,601270,507750,426914,301441,196460,213165,42.5,42.6,359812334.1,6048,208979,1588180500000,https://www.inspq.qc.ca/covid-19/donnees,18785,1648,222,,1761,26594,2020-04-30 07:16:02
12,Ontario,Ontario,ON,2441339186868.13,19728315.0284568,e3c9e463-47d8-4233-9aed-def5da0c9b2e,14479429,737841,749591,768965,795889,980205,1060688,1007244,969152,923417,937475,993284,1076876,944917,785087,650875,448937,315169,333817,41.4,40.9,598799377.8,9612,264594,1588174200000,https://www.ontario.ca/page/2019-novel-coronavirus,5466,977,235,,996,15728,2020-04-30 07:16:02
13,Northwest Territories,Territoires du Nord-Ouest,NT,8461453265472.86,71895988.0066321,ee2b127b-43eb-4336-b91d-e0c5aedd6966,44078,3013,3162,3289,2413,3049,3663,3721,3561,3237,2773,2856,3342,2416,1579,838,568,339,259,35.4,34.6,1562237.7,5,1744,1588182300000,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,0,,,,0,5,2020-04-30 07:16:02
15,Repatriated CDN,Repatriated CDN,RC,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1588191300000,,0,,,,0,13,2020-04-30 07:16:02
1,Nunavut,Nunavut,NU,22749933249605.5,311589927.648306,229c35bb-93e4-4a51-a74d-1ae32a44593a,37226,4145,3770,3399,2919,2969,3175,3088,2816,2149,2045,1895,1880,1342,770,478,234,86,66,29.3,27.2,1089576.6,0,580,1588182300000,https://www.gov.nu.ca/health/information/covid-19-novel-coronavirus,0,,,,0,0,2020-04-29 21:15:56
2,Yukon,Yukon,YT,2471001503236.1,9823565.96985445,13b8794f-5852-460b-8054-274a9edd85da,39469,2063,2317,2023,2081,2458,2861,2923,3066,3030,2805,2518,2939,2932,2336,1437,894,438,348,39.8,39.9,1572564.4,8,973,1588196700000,https://yukon.ca/covid-19,3,,,,0,11,2020-04-29 21:15:56
3,Prince Edward Island,Ile-du-Prince-Édouard,PE,12185353959.6211,1489399.2423764,c23ae69a-d1fc-4dab-9093-330e9ba52077,135849,6906,7549,7885,7613,8462,8431,7503,8245,7914,8963,9679,10377,9648,8517,7605,4737,3026,2789,42.3,43.4,5742178.2,24,2953,1588187700000,https://www.princeedwardisland.ca/en/topic/covid-19,3,,,,0,27,2020-04-29 21:15:56
4,Newfoundland and Labrador,Terre-Neuve,NL,1086581082316.36,37794434.2008472,87d515b0-e6d7-4f85-9e3e-341a422077b3,523241,21854,24726,26686,26568,27863,30913,31007,32196,32048,36036,40689,41752,40628,37900,30791,19393,12232,9959,44.1,46.1,23065436.3,225,8220,1588179600000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,30,4,2,,3,258,2020-04-29 21:15:56
5,New Brunswick,Nouveau-Brunswick,NB,154155977969.953,3413186.07764555,32d3149d-34e6-4fce-b464-36c350e00f58,756060,33897,37318,38726,39828,42149,44267,41936,45040,46815,50415,54352,61496,58605,51204,43432,28743,18645,19192,44,45.8,33284564.2,114,13699,1588182300000,https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/maps_graphs.html,4,1,0,,0,118,2020-04-29 21:15:56
6,British Columbia,Colombie-Britannique,BC,2862273736196.98,31406752.9411131,735b589b-2768-4765-a176-3857e0ca6e83,4895154,227890,235572,240006,254983,323378,338603,342000,340131,313387,321154,328861,357360,335841,291567,242964,167928,113708,119821,42.5,42.3,208070312.1,1305,83425,1588203900000,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/case-counts-press-statements,673,89,35,,109,2087,2020-04-29 21:15:56
7,Nova Scotia,Nouvelle-Écosse,NS,111077322204.383,6373052.4540427,d2c3a3a8-c82f-4dcb-8cb7-6b0e81ad810d,958712,42803,45243,45823,48835,58642,63416,60786,58671,57698,61403,66079,77221,73300,63324,54257,35913,22692,22606,43.6,44.8,41844732.7,529,28421,1588176900000,https://novascotia.ca/coronavirus/data/,379,11,3,,28,935,2020-04-29 21:15:56
8,Saskatchewan,Saskatchewan,SK,1899735100561.55,9302184.44773394,55f5faf0-a76f-4fe1-a1f1-77415a1c546a,1203446,79758,78644,75621,72680,77374,88477,92733,86305,75488,68981,68681,79358,74253,59629,44551,30978,23272,26663,38.8,37.1,46681461.3,291,29106,1588190400000,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan,86,10,3,,6,383,2020-04-29 21:15:56
9,Alberta,Alberta,AB,2036440617829.41,7161507.76723443,370a849a-e5ae-443f-933a-7bad610953b6,4435639,283460,275062,263508,244291,274870,335040,372040,371608,321058,288398,272779,291515,262841,200075,148958,96811,65169,68156,38.3,37.3,169893805,1953,143886,1588197600000,https://www.alberta.ca/covid-19-alberta-data.aspx,3125,86,22,,87,5165,2020-04-29 21:15:56
10,Manitoba,Manitoba,MB,1876284624051.16,14868415.7710928,f1526b98-269a-49e9-9c68-9a2eee7d1687,1367811,87963,85902,83607,85122,95712,99468,98689,92593,85601,82379,82551,91093,81381,68626,55244,37256,25796,28828,39,37.6,53412420.3,213,24389,1588187700000,https://www.gov.mb.ca/covid19/index.html,54,5,0,,6,273,2020-04-29 21:15:56
11,Quebec,Québec,QC,4318862847408.47,30353674.6912596,4eefb95c-5a26-4caf-9e7e-d6a7213b2703,8458050,427294,459270,437395,407413,483987,573828,548439,589315,572674,521774,558829,630832,601270,507750,426914,301441,196460,213165,42.5,42.6,359812334.1,6048,208979,1588180500000,https://www.inspq.qc.ca/covid-19/donnees,18785,1648,222,,1761,26594,2020-04-29 21:15:56
12,Ontario,Ontario,ON,2441339186868.13,19728315.0284568,e3c9e463-47d8-4233-9aed-def5da0c9b2e,14479429,737841,749591,768965,795889,980205,1060688,1007244,969152,923417,937475,993284,1076876,944917,785087,650875,448937,315169,333817,41.4,40.9,598799377.8,9612,264594,1588174200000,https://www.ontario.ca/page/2019-novel-coronavirus,5466,977,235,,996,15728,2020-04-29 21:15:56
13,Northwest Territories,Territoires du Nord-Ouest,NT,8461453265472.86,71895988.0066321,ee2b127b-43eb-4336-b91d-e0c5aedd6966,44078,3013,3162,3289,2413,3049,3663,3721,3561,3237,2773,2856,3342,2416,1579,838,568,339,259,35.4,34.6,1562237.7,5,1744,1588182300000,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,0,,,,0,5,2020-04-29 21:15:56
15,Repatriated CDN,Repatriated CDN,RC,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1588191300000,,0,,,,0,13,2020-04-29 21:15:56
1,Nunavut,Nunavut,NU,22749933249605.5,311589927.648306,229c35bb-93e4-4a51-a74d-1ae32a44593a,37226,4145,3770,3399,2919,2969,3175,3088,2816,2149,2045,1895,1880,1342,770,478,234,86,66,29.3,27.2,1089576.6,0,580,1588182300000,https://www.gov.nu.ca/health/information/covid-19-novel-coronavirus,0,,,,0,0,2020-04-29 14:16:03
2,Yukon,Yukon,YT,2471001503236.1,9823565.96985445,13b8794f-5852-460b-8054-274a9edd85da,39469,2063,2317,2023,2081,2458,2861,2923,3066,3030,2805,2518,2939,2932,2336,1437,894,438,348,39.8,39.9,1572564.4,8,953,1588114800000,https://yukon.ca/covid-19,3,,,,0,11,2020-04-29 14:16:03
3,Prince Edward Island,Ile-du-Prince-Édouard,PE,12185353959.6211,1489399.2423764,c23ae69a-d1fc-4dab-9093-330e9ba52077,135849,6906,7549,7885,7613,8462,8431,7503,8245,7914,8963,9679,10377,9648,8517,7605,4737,3026,2789,42.3,43.4,5742178.2,24,2852,1588104900000,https://www.princeedwardisland.ca/en/topic/covid-19,3,,,,0,27,2020-04-29 14:16:03
4,Newfoundland and Labrador,Terre-Neuve,NL,1086581082316.36,37794434.2008472,87d515b0-e6d7-4f85-9e3e-341a422077b3,523241,21854,24726,26686,26568,27863,30913,31007,32196,32048,36036,40689,41752,40628,37900,30791,19393,12232,9959,44.1,46.1,23065436.3,225,8220,1588179600000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,30,4,2,,3,258,2020-04-29 14:16:03
5,New Brunswick,Nouveau-Brunswick,NB,154155977969.953,3413186.07764555,32d3149d-34e6-4fce-b464-36c350e00f58,756060,33897,37318,38726,39828,42149,44267,41936,45040,46815,50415,54352,61496,58605,51204,43432,28743,18645,19192,44,45.8,33284564.2,114,13699,1588182300000,https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/maps_graphs.html,4,1,0,,0,118,2020-04-29 14:16:03
6,British Columbia,Colombie-Britannique,BC,2862273736196.98,31406752.9411131,735b589b-2768-4765-a176-3857e0ca6e83,4895154,227890,235572,240006,254983,323378,338603,342000,340131,313387,321154,328861,357360,335841,291567,242964,167928,113708,119821,42.5,42.3,208070312.1,1231,80888,1588118400000,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/case-counts-press-statements,717,94,37,,105,2053,2020-04-29 14:16:03
7,Nova Scotia,Nouvelle-Écosse,NS,111077322204.383,6373052.4540427,d2c3a3a8-c82f-4dcb-8cb7-6b0e81ad810d,958712,42803,45243,45823,48835,58642,63416,60786,58671,57698,61403,66079,77221,73300,63324,54257,35913,22692,22606,43.6,44.8,41844732.7,529,28421,1588176900000,https://novascotia.ca/coronavirus/data/,379,11,3,,28,935,2020-04-29 14:16:03
8,Saskatchewan,Saskatchewan,SK,1899735100561.55,9302184.44773394,55f5faf0-a76f-4fe1-a1f1-77415a1c546a,1203446,79758,78644,75621,72680,77374,88477,92733,86305,75488,68981,68681,79358,74253,59629,44551,30978,23272,26663,38.8,37.1,46681461.3,291,28632,1588104900000,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan,70,8,2,,5,366,2020-04-29 14:16:03
9,Alberta,Alberta,AB,2036440617829.41,7161507.76723443,370a849a-e5ae-443f-933a-7bad610953b6,4435639,283460,275062,263508,244291,274870,335040,372040,371608,321058,288398,272779,291515,262841,200075,148958,96811,65169,68156,38.3,37.3,169893805,1800,138681,1588111200000,https://www.alberta.ca/covid-19-alberta-data.aspx,2970,82,21,,80,4850,2020-04-29 14:16:03
10,Manitoba,Manitoba,MB,1876284624051.16,14868415.7710928,f1526b98-269a-49e9-9c68-9a2eee7d1687,1367811,87963,85902,83607,85122,95712,99468,98689,92593,85601,82379,82551,91093,81381,68626,55244,37256,25796,28828,39,37.6,53412420.3,209,23857,1588100400000,https://www.gov.mb.ca/covid19/index.html,57,7,2,,6,272,2020-04-29 14:16:03
11,Quebec,Québec,QC,4318862847408.47,30353674.6912596,4eefb95c-5a26-4caf-9e7e-d6a7213b2703,8458050,427294,459270,437395,407413,483987,573828,548439,589315,572674,521774,558829,630832,601270,507750,426914,301441,196460,213165,42.5,42.6,359812334.1,6048,208979,1588180500000,https://www.inspq.qc.ca/covid-19/donnees,18785,1648,222,,1761,26594,2020-04-29 14:16:03
12,Ontario,Ontario,ON,2441339186868.13,19728315.0284568,e3c9e463-47d8-4233-9aed-def5da0c9b2e,14479429,737841,749591,768965,795889,980205,1060688,1007244,969152,923417,937475,993284,1076876,944917,785087,650875,448937,315169,333817,41.4,40.9,598799377.8,9612,264594,1588174200000,https://www.ontario.ca/page/2019-novel-coronavirus,5466,977,235,,996,15728,2020-04-29 14:16:03
13,Northwest Territories,Territoires du Nord-Ouest,NT,8461453265472.86,71895988.0066321,ee2b127b-43eb-4336-b91d-e0c5aedd6966,44078,3013,3162,3289,2413,3049,3663,3721,3561,3237,2773,2856,3342,2416,1579,838,568,339,259,35.4,34.6,1562237.7,5,1744,1588182300000,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,0,,,,0,5,2020-04-29 14:16:03
15,Repatriated CDN,Repatriated CDN,RC,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1588191300000,,0,,,,0,13,2020-04-29 14:16:03
1,Nunavut,Nunavut,NU,22749933249605.5,311589927.648306,229c35bb-93e4-4a51-a74d-1ae32a44593a,37226,4145,3770,3399,2919,2969,3175,3088,2816,2149,2045,1895,1880,1342,770,478,234,86,66,29.3,27.2,1089576.6,0,550,1588114800000,https://www.gov.nu.ca/health/information/covid-19-novel-coronavirus,0,,,,0,0,2020-04-29 07:15:57
2,Yukon,Yukon,YT,2471001503236.1,9823565.96985445,13b8794f-5852-460b-8054-274a9edd85da,39469,2063,2317,2023,2081,2458,2861,2923,3066,3030,2805,2518,2939,2932,2336,1437,894,438,348,39.8,39.9,1572564.4,8,953,1588114800000,https://yukon.ca/covid-19,3,,,,0,11,2020-04-29 07:15:57
3,Prince Edward Island,Ile-du-Prince-Édouard,PE,12185353959.6211,1489399.2423764,c23ae69a-d1fc-4dab-9093-330e9ba52077,135849,6906,7549,7885,7613,8462,8431,7503,8245,7914,8963,9679,10377,9648,8517,7605,4737,3026,2789,42.3,43.4,5742178.2,24,2852,1588104900000,https://www.princeedwardisland.ca/en/topic/covid-19,3,,,,0,27,2020-04-29 07:15:57
4,Newfoundland and Labrador,Terre-Neuve,NL,1086581082316.36,37794434.2008472,87d515b0-e6d7-4f85-9e3e-341a422077b3,523241,21854,24726,26686,26568,27863,30913,31007,32196,32048,36036,40689,41752,40628,37900,30791,19393,12232,9959,44.1,46.1,23065436.3,222,7955,1588097700000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,33,4,2,,3,258,2020-04-29 07:15:57
5,New Brunswick,Nouveau-Brunswick,NB,154155977969.953,3413186.07764555,32d3149d-34e6-4fce-b464-36c350e00f58,756060,33897,37318,38726,39828,42149,44267,41936,45040,46815,50415,54352,61496,58605,51204,43432,28743,18645,19192,44,45.8,33284564.2,114,13430,1588097700000,https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/maps_graphs.html,4,1,0,,0,118,2020-04-29 07:15:57
6,British Columbia,Colombie-Britannique,BC,2862273736196.98,31406752.9411131,735b589b-2768-4765-a176-3857e0ca6e83,4895154,227890,235572,240006,254983,323378,338603,342000,340131,313387,321154,328861,357360,335841,291567,242964,167928,113708,119821,42.5,42.3,208070312.1,1231,80888,1588118400000,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/case-counts-press-statements,717,94,37,,105,2053,2020-04-29 07:15:57
7,Nova Scotia,Nouvelle-Écosse,NS,111077322204.383,6373052.4540427,d2c3a3a8-c82f-4dcb-8cb7-6b0e81ad810d,958712,42803,45243,45823,48835,58642,63416,60786,58671,57698,61403,66079,77221,73300,63324,54257,35913,22692,22606,43.6,44.8,41844732.7,522,27817,1588089600000,https://novascotia.ca/coronavirus/data/,366,12,3,,27,915,2020-04-29 07:15:57
8,Saskatchewan,Saskatchewan,SK,1899735100561.55,9302184.44773394,55f5faf0-a76f-4fe1-a1f1-77415a1c546a,1203446,79758,78644,75621,72680,77374,88477,92733,86305,75488,68981,68681,79358,74253,59629,44551,30978,23272,26663,38.8,37.1,46681461.3,291,28632,1588104900000,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan,70,8,2,,5,366,2020-04-29 07:15:57
9,Alberta,Alberta,AB,2036440617829.41,7161507.76723443,370a849a-e5ae-443f-933a-7bad610953b6,4435639,283460,275062,263508,244291,274870,335040,372040,371608,321058,288398,272779,291515,262841,200075,148958,96811,65169,68156,38.3,37.3,169893805,1800,138681,1588111200000,https://www.alberta.ca/covid-19-alberta-data.aspx,2970,82,21,,80,4850,2020-04-29 07:15:57
10,Manitoba,Manitoba,MB,1876284624051.16,14868415.7710928,f1526b98-269a-49e9-9c68-9a2eee7d1687,1367811,87963,85902,83607,85122,95712,99468,98689,92593,85601,82379,82551,91093,81381,68626,55244,37256,25796,28828,39,37.6,53412420.3,209,23857,1588100400000,https://www.gov.mb.ca/covid19/index.html,57,7,2,,6,272,2020-04-29 07:15:57
11,Quebec,Québec,QC,4318862847408.47,30353674.6912596,4eefb95c-5a26-4caf-9e7e-d6a7213b2703,8458050,427294,459270,437395,407413,483987,573828,548439,589315,572674,521774,558829,630832,601270,507750,426914,301441,196460,213165,42.5,42.6,359812334.1,5841,204472,1588097700000,https://www.inspq.qc.ca/covid-19/donnees,18234,1625,217,,1682,25757,2020-04-29 07:15:57
12,Ontario,Ontario,ON,2441339186868.13,19728315.0284568,e3c9e463-47d8-4233-9aed-def5da0c9b2e,14479429,737841,749591,768965,795889,980205,1060688,1007244,969152,923417,937475,993284,1076876,944917,785087,650875,448937,315169,333817,41.4,40.9,598799377.8,8964,253040,1588089600000,https://www.ontario.ca/page/2019-novel-coronavirus,5466,957,239,,951,15381,2020-04-29 07:15:57
13,Northwest Territories,Territoires du Nord-Ouest,NT,8461453265472.86,71895988.0066321,ee2b127b-43eb-4336-b91d-e0c5aedd6966,44078,3013,3162,3289,2413,3049,3663,3721,3561,3237,2773,2856,3342,2416,1579,838,568,339,259,35.4,34.6,1562237.7,5,1723,1588104900000,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,0,,,,0,5,2020-04-29 07:15:57
15,Repatriated CDN,Repatriated CDN,RC,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1588104900000,,0,,,,0,13,2020-04-29 07:15:57
1,Nunavut,Nunavut,NU,22749933249605.5,311589927.648306,229c35bb-93e4-4a51-a74d-1ae32a44593a,37226,4145,3770,3399,2919,2969,3175,3088,2816,2149,2045,1895,1880,1342,770,478,234,86,66,29.3,27.2,1089576.6,0,550,1588114800000,https://www.gov.nu.ca/health/information/covid-19-novel-coronavirus,0,,,,0,0,2020-04-28 21:15:55
2,Yukon,Yukon,YT,2471001503236.1,9823565.96985445,13b8794f-5852-460b-8054-274a9edd85da,39469,2063,2317,2023,2081,2458,2861,2923,3066,3030,2805,2518,2939,2932,2336,1437,894,438,348,39.8,39.9,1572564.4,8,953,1588114800000,https://yukon.ca/covid-19,3,,,,0,11,2020-04-28 21:15:55
3,Prince Edward Island,Ile-du-Prince-Édouard,PE,12185353959.6211,1489399.2423764,c23ae69a-d1fc-4dab-9093-330e9ba52077,135849,6906,7549,7885,7613,8462,8431,7503,8245,7914,8963,9679,10377,9648,8517,7605,4737,3026,2789,42.3,43.4,5742178.2,24,2852,1588104900000,https://www.princeedwardisland.ca/en/topic/covid-19,3,,,,0,27,2020-04-28 21:15:55
4,Newfoundland and Labrador,Terre-Neuve,NL,1086581082316.36,37794434.2008472,87d515b0-e6d7-4f85-9e3e-341a422077b3,523241,21854,24726,26686,26568,27863,30913,31007,32196,32048,36036,40689,41752,40628,37900,30791,19393,12232,9959,44.1,46.1,23065436.3,222,7955,1588097700000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,33,4,2,,3,258,2020-04-28 21:15:55
5,New Brunswick,Nouveau-Brunswick,NB,154155977969.953,3413186.07764555,32d3149d-34e6-4fce-b464-36c350e00f58,756060,33897,37318,38726,39828,42149,44267,41936,45040,46815,50415,54352,61496,58605,51204,43432,28743,18645,19192,44,45.8,33284564.2,114,13430,1588097700000,https://www2.gnb.ca/content/gnb/en/corporate/promo/covid-19/maps_graphs.html,4,1,0,,0,118,2020-04-28 21:15:55
6,British Columbia,Colombie-Britannique,BC,2862273736196.98,31406752.9411131,735b589b-2768-4765-a176-3857e0ca6e83,4895154,227890,235572,240006,254983,323378,338603,342000,340131,313387,321154,328861,357360,335841,291567,242964,167928,113708,119821,42.5,42.3,208070312.1,1231,80888,1588118400000,http://www.bccdc.ca/health-info/diseases-conditions/covid-19/case-counts-press-statements,717,94,37,,105,2053,2020-04-28 21:15:55
7,Nova Scotia,Nouvelle-Écosse,NS,111077322204.383,6373052.4540427,d2c3a3a8-c82f-4dcb-8cb7-6b0e81ad810d,958712,42803,45243,45823,48835,58642,63416,60786,58671,57698,61403,66079,77221,73300,63324,54257,35913,22692,22606,43.6,44.8,41844732.7,522,27817,1588089600000,https://novascotia.ca/coronavirus/data/,366,12,3,,27,915,2020-04-28 21:15:55
8,Saskatchewan,Saskatchewan,SK,1899735100561.55,9302184.44773394,55f5faf0-a76f-4fe1-a1f1-77415a1c546a,1203446,79758,78644,75621,72680,77374,88477,92733,86305,75488,68981,68681,79358,74253,59629,44551,30978,23272,26663,38.8,37.1,46681461.3,291,28632,1588104900000,https://www.saskatchewan.ca/government/health-care-administration-and-provider-resources/treatment-procedures-and-guidelines/emerging-public-health-issues/2019-novel-coronavirus/cases-and-risk-of-covid-19-in-saskatchewan,70,8,2,,5,366,2020-04-28 21:15:55
9,Alberta,Alberta,AB,2036440617829.41,7161507.76723443,370a849a-e5ae-443f-933a-7bad610953b6,4435639,283460,275062,263508,244291,274870,335040,372040,371608,321058,288398,272779,291515,262841,200075,148958,96811,65169,68156,38.3,37.3,169893805,1800,138681,1588111200000,https://www.alberta.ca/covid-19-alberta-data.aspx,2970,82,21,,80,4850,2020-04-28 21:15:55
10,Manitoba,Manitoba,MB,1876284624051.16,14868415.7710928,f1526b98-269a-49e9-9c68-9a2eee7d1687,1367811,87963,85902,83607,85122,95712,99468,98689,92593,85601,82379,82551,91093,81381,68626,55244,37256,25796,28828,39,37.6,53412420.3,209,23857,1588100400000,https://www.gov.mb.ca/covid19/index.html,57,7,2,,6,272,2020-04-28 21:15:55
11,Quebec,Québec,QC,4318862847408.47,30353674.6912596,4eefb95c-5a26-4caf-9e7e-d6a7213b2703,8458050,427294,459270,437395,407413,483987,573828,548439,589315,572674,521774,558829,630832,601270,507750,426914,301441,196460,213165,42.5,42.6,359812334.1,5841,204472,1588097700000,https://www.inspq.qc.ca/covid-19/donnees,18234,1625,217,,1682,25757,2020-04-28 21:15:55
12,Ontario,Ontario,ON,2441339186868.13,19728315.0284568,e3c9e463-47d8-4233-9aed-def5da0c9b2e,14479429,737841,749591,768965,795889,980205,1060688,1007244,969152,923417,937475,993284,1076876,944917,785087,650875,448937,315169,333817,41.4,40.9,598799377.8,8964,253040,1588089600000,https://www.ontario.ca/page/2019-novel-coronavirus,5466,957,239,,951,15381,2020-04-28 21:15:55
13,Northwest Territories,Territoires du Nord-Ouest,NT,8461453265472.86,71895988.0066321,ee2b127b-43eb-4336-b91d-e0c5aedd6966,44078,3013,3162,3289,2413,3049,3663,3721,3561,3237,2773,2856,3342,2416,1579,838,568,339,259,35.4,34.6,1562237.7,5,1723,1588104900000,https://www.hss.gov.nt.ca/en/services/coronavirus-disease-covid-19,0,,,,0,5,2020-04-28 21:15:55
15,Repatriated CDN,Repatriated CDN,RC,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,1588104900000,,0,,,,0,13,2020-04-28 21:15:55
1,Nunavut,Nunavut,NU,22749933249605.5,311589927.648306,229c35bb-93e4-4a51-a74d-1ae32a44593a,37226,4145,3770,3399,2919,2969,3175,3088,2816,2149,2045,1895,1880,1342,770,478,234,86,66,29.3,27.2,1089576.6,0,550,1588005900000,https://www.gov.nu.ca/health/information/covid-19-novel-coronavirus,0,,,,0,0,2020-04-28 14:16:15
2,Yukon,Yukon,YT,2471001503236.1,9823565.96985445,13b8794f-5852-460b-8054-274a9edd85da,39469,2063,2317,2023,2081,2458,2861,2923,3066,3030,2805,2518,2939,2932,2336,1437,894,438,348,39.8,39.9,1572564.4,8,919,1588028400000,https://yukon.ca/covid-19,3,,,,0,11,2020-04-28 14:16:15
3,Prince Edward Island,Ile-du-Prince-Édouard,PE,12185353959.6211,1489399.2423764,c23ae69a-d1fc-4dab-9093-330e9ba52077,135849,6906,7549,7885,7613,8462,8431,7503,8245,7914,8963,9679,10377,9648,8517,7605,4737,3026,2789,42.3,43.4,5742178.2,24,2794,1588013100000,https://www.princeedwardisland.ca/en/topic/covid-19,2,,,,0,26,2020-04-28 14:16:15
4,Newfoundland and Labrador,Terre-Neuve,NL,1086581082316.36,37794434.2008472,87d515b0-e6d7-4f85-9e3e-341a422077b3,523241,21854,24726,26686,26568,27863,30913,31007,32196,32048,36036,40689,41752,40628,37900,30791,19393,12232,9959,44.1,46.1,23065436.3,222,7955,1588097700000,https://covid-19-newfoundland-and-labrador-gnl.hub.arcgis.com/,33,4,2,,3,258,2020-04-28 14:16:15
